tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
617074,266398,True,Mon Nov 27 13:09:28 +0000 2017,"@AmazonHelp Thanks amazon, i have received my money back within 2days after the investigation process. Still disappointed that such a blunder have been made by you people.",617075,617073.0
1366229,438048,True,Sat Nov 25 13:11:52 +0000 2017,@AmazonHelp Vou parar Cidade dos Etéreos primeiro q eu estava ansiosa logo pela continuação e talvez o próximo seja Ligações mesmo 😍,1366230,1366228.0
959688,347695,True,Sun Oct 22 02:28:10 +0000 2017,@AmazonHelp Only thing they could do was give me a phone number or give out my number for a 10pm call. (No thank you.),959690,959687.0
2176713,242497,True,Thu Nov 09 14:58:22 +0000 2017,@AmazonHelp I’ll have to wait for my mum to get home as it’s gone to her emails if there is one,2176711,2176714.0
2789042,268885,True,Sat Nov 18 07:40:29 +0000 2017,@AmazonHelp Yes it was https://t.co/x9WxVy2k8E,2789041,2789043.0
2104954,511103,True,Wed Nov 08 13:00:52 +0000 2017,@AmazonHelp Merci bien. Je n'hésiterai pas. Bonne fin de journée.,2104956,2104953.0
2449331,182211,True,Wed Nov 15 05:50:02 +0000 2017,@AmazonHelp OK!,,2449330.0
2918704,807850,True,Wed Nov 29 00:39:47 +0000 2017,"@AmazonHelp And from every rep, they kept saying they will ""personally"" call me back.  NOT ONE called me back to follow up.  I'm currently on hold with my CC company and will be debating these charges with the email correspondence from your end.",,2918702.0
2719418,763153,True,Mon Nov 20 10:44:57 +0000 2017,"@AmazonHelp Dont worry it is sorted, they sent me a copy of my own book so I got what I ordered thank you for prompt response :)",2719419,2719417.0
162116,147113,True,Fri Nov 24 18:36:03 +0000 2017,"@115851 @AmazonHelp @115850 #jeffbezos  
Shame on you!!! 
I have sent emails and tweets to inform you thst how your customer care behaved with me rudely...but you did not take any action, also did not respond. 

A big shame!!!","162115,162117",162118.0
421404,215405,True,Tue Oct 10 12:41:37 +0000 2017,@AmazonHelp I ordered thru flipkart now https://t.co/hGrHZcvOlv,,421403.0
2161950,634839,True,Thu Nov 09 06:49:12 +0000 2017,"Where is Amazon , helpme!!! @115850 @AmazonHelp @122869",2161949,
1794124,539145,True,Wed Oct 18 00:07:45 +0000 2017,@AmazonHelp Can you please help with being able to print a return label,1794122,1794125.0
682966,264534,True,Thu Nov 23 15:47:31 +0000 2017,@AmazonHelp Hopefully Saturday - really hope so,,682965.0
2141367,629689,True,Wed Nov 08 22:36:34 +0000 2017,Just got my package delivered and 1 of 20 of the same items was damaged (punctured and leaking). Seriously...  @AmazonHelp,2141366,
529199,242532,True,Sat Dec 02 09:06:55 +0000 2017,"@AmazonHelp I know that, hence my tweet, I was wondering why? What is the rationale for this? Why doesn't Amazon recognise that there may be more than two adults in a household?",,529198.0
1576258,485641,True,Sat Nov 04 18:07:35 +0000 2017,@AmazonHelp There is no concern I already renewed. Just noticed the new price on a TV ad today. Thanks for the response though.,1576257,1576259.0
1034728,185471,True,Mon Oct 23 06:17:36 +0000 2017,"@AmazonHelp I checked,, got a mail on same day that they'll call us in 24-48 hours,, but more than 100 hours gone, no revert..",1034726,1034730.0
385061,207162,True,Mon Oct 09 16:18:43 +0000 2017,@AmazonHelp Before ordering i talked to ur exec nd he assured me dat u wil rcv your order before 10th Oct. What benifit i m getting as a prime member?,385062,385060.0
1426706,126339,True,Fri Nov 03 10:53:26 +0000 2017,@AmazonHelp @115850   do u all are really concern about customer greiverances ....Or ur work is only selling the item. Its 4-5 days no call or msg,"1426707,1426708,1426709",1426705.0
823134,316080,True,Sat Oct 14 12:45:06 +0000 2017,@AmazonHelp entrei na opção fale com o vendedor. Não encontrei no site nenhuma opção SAC,823135,823133.0
